Alpha,CL,CD,CDp,CM,X,Y
0,-0.009,0.02719,0.01555,-0.0231,1,0.2301
0.25,0.0173,0.02675,0.01524,-0.023,1,0.2562
0.5,0.0431,0.02398,0.01533,-0.0216,1,0.8038
0.75,0.0604,0.02405,0.01492,-0.0194,1,1
1,0.0819,0.02456,0.01504,-0.0187,1,1
1.25,0.1028,0.0251,0.01535,-0.0182,1,1
1.5,0.1234,0.02569,0.01577,-0.0178,1,1
1.75,0.1437,0.02632,0.01629,-0.0175,1,1
2,0.1637,0.027,0.01688,-0.0172,1,1
2.25,0.1834,0.02773,0.01755,-0.017,1,1
2.5,0.2027,0.02852,0.0183,-0.0168,1,1
2.75,0.2216,0.02937,0.01914,-0.0167,1,1
3,0.2571,0.0306,0.02038,-0.0198,0.993,1
3.25,0.3276,0.03213,0.02198,-0.029,0.9644,1
3.5,0.3884,0.03308,0.02305,-0.0356,0.9362,1
3.75,0.4493,0.0335,0.02361,-0.0413,0.906,1
4,0.5097,0.03318,0.02351,-0.046,0.8729,1
4.25,0.5811,0.03166,0.0223,-0.0505,0.8352,1
4.5,0.6613,0.02769,0.0187,-0.0526,0.7825,1
4.75,0.7282,0.02324,0.01443,-0.0509,0.6915,1
5,0.7739,0.02236,0.0124,-0.0485,0.5101,1
5.25,0.7952,0.02393,0.01303,-0.0463,0.424,1
5.5,0.8227,0.02563,0.01421,-0.0458,0.3661,1
5.75,0.8542,0.02739,0.01563,-0.0461,0.3245,1
6,0.8875,0.02924,0.01721,-0.0468,0.2965,1
6.25,0.916,0.03097,0.01892,-0.0467,0.2767,1
6.5,0.9446,0.03282,0.02068,-0.0467,0.2617,1
6.75,0.9679,0.03452,0.02264,-0.0458,0.2496,1
7,0.9911,0.03652,0.0248,-0.045,0.2395,1
7.25,1.0145,0.03847,0.02685,-0.0442,0.2301,1
7.5,1.0326,0.04074,0.02942,-0.0427,0.2219,1
7.75,1.0516,0.04284,0.03172,-0.0414,0.2134,1
8,1.067,0.04542,0.03454,-0.0397,0.2061,1
8.25,1.0776,0.04786,0.03737,-0.0373,0.1984,1
8.5,1.0958,0.05054,0.04004,-0.0362,0.1906,1
8.75,1.0947,0.05374,0.04384,-0.0327,0.1854,1
9,1.1049,0.05645,0.04673,-0.0307,0.1787,1
9.25,1.1127,0.05998,0.05042,-0.0287,0.1735,1
9.5,1.0987,0.06426,0.0552,-0.0249,0.1716,1
9.75,1.0816,0.06883,0.06015,-0.0215,0.1705,1
10,1.0597,0.07376,0.06537,-0.0184,0.1705,1
10.25,1.0333,0.07891,0.07073,-0.0157,0.1715,1
10.5,1.0073,0.08441,0.07634,-0.0139,0.1729,1
10.75,0.9871,0.09045,0.08246,-0.0136,0.1742,1
11,0.9757,0.09679,0.08885,-0.0141,0.1752,1
